Title,Score,Release Year,Company
Dicey Dungeons,89%,2020,Distractionware Ltd.
Dusk,89%,2021,
Ender Magnolia: Bloom in the Mist,89%,2025,Live Wire Inc.
Final Fantasy X | X-2: HD Remaster,89%,2019,"Square Co., Ltd."
Inscryption,89%,2022,Daniel Mullins Games Ltd.
Into the Breach,89%,2018,"Subset Games, LLC"
Neon White,89%,2022,"Little Flag Software, LLC"
Neva,89%,2024,Nomada Studio
Rocket League,89%,2017,"Psyonix, Inc."
Shovel Knight: Treasure Trove,89%,2017,"Yacht Club Games, LLC"
Slay the Spire,89%,2019,Mega Crit Games
SteamWorld Dig 2,89%,2017,Image & Form International AB
Thank Goodness You're Here!,89%,2024,Coal Supper
The Legend of Heroes: Trails from Zero,89%,2021,Nihon Falcom Corp.
Tony Hawk's Pro Skater 1 + 2,89%,2021,"Iron Galaxy Studios, LLC"
Transistor,89%,2018,"Supergiant Games, Inc."
A Short Hike,90%,2020,
Absolum,90%,2025,DotEmu SAS
Animal Crossing: New Horizons,90%,2020,Nintendo EPD
Axiom Verge,90%,2017,Thomas Happ Games LLC
Disco Elysium,90%,2021,Zaum Studio OÜ
Metroid Dread,90%,2021,Nintendo EPD
Monster Hunter: Rise,90%,2021,"Capcom Co., Ltd."
Overboard!,90%,2021,inkle Ltd.
Overcooked!: All You Can Eat,90%,2021,Ghost Town Games Ltd
Pipistrello and the Cursed Yoyo,90%,2025,Pocket Trap
Sonic Mania Plus,90%,2018,PagodaWest Games
Spelunky 2,90%,2021,"Mossmouth, LLC"
Super Mario Maker 2,90%,2019,Nintendo EPD
The Cosmic Wheel Sisterhood,90%,2023,Deconstructeam
13 Sentinels: Aegis Rim,91%,2022,Vanillaware Ltd.
Bayonetta 2,91%,2018,PlatinumGames Inc.
Castlevania: Dominus Collection,91%,2024,"M2 Co., Ltd."
Guacamelee! Super Turbo Championship Edition,91%,2018,DrinkBox Studios Inc.
Inside,91%,2018,Playdead ApS
Marvel vs. Capcom Fighting Collection: Arcade Clas...,91%,2024,"Capcom Co., Ltd."
Ori and the Blind Forest: Definitive Edition,91%,2019,Moon Studios GmbH
Prince of Persia: The Lost Crown,91%,2024,Ubisoft Montpellier SAS
Super Mario Bros. Wonder,91%,2023,Nintendo EPD
Super Meat Boy,91%,2018,Team Meat LLC
Tsukihime: A piece of blue glass moon,91%,2021,Type-Moon
Vampire Survivors,91%,2023,Poncle Limited
Xenoblade Chronicles 3,91%,2022,"Monolith Software, Inc."
Animal Well,92%,2024,Shared Memory LLC
Balatro,92%,2024,LocalThunk Inc.
Celeste,92%,2018,Matt Makes Games Inc.
Chained Echoes,92%,2022,
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,92%,2019,"Square Enix Co., Ltd."
The Case of the Golden Idol,92%,2023,Color Gray Games
Undertale,92%,2018,
Xenoblade Chronicles: Definitive Edition,92%,2020,"Monolith Software, Inc."
Hollow Knight,93%,2018,Team Cherry Pty Ltd.
Mario Kart 8 Deluxe,93%,2017,Nintendo EAD
Super Smash Bros. Ultimate,93%,2018,Sora Ltd.
The House in Fata Morgana: Dreams of the Revenants...,93%,2021,Novectacle
Unavowed,93%,2021,Wadjet Eye Games LLC
Love 3,94%,2021,Mokuzai Studio LLC
Metroid Prime: Remastered,94%,2023,Retro Studios Inc.
Persona 5: Royal,94%,2022,"Atlus Co., Ltd."
Hades,95%,2020,"Supergiant Games, Inc."
Hades II,95%,2025,"Supergiant Games, Inc."
Persona 4 Golden,95%,2023,Index Corporation
Stardew Valley,95%,2017,ConcernedApe LLC
Tetris Effect,95%,2021,Stage Games Inc.
The Legend of Zelda: Tears of the Kingdom,95%,2023,Nintendo EPD
Super Mario Odyssey,96%,2017,Nintendo EPD
The Legend of Zelda: Breath of the Wild,96%,2017,Nintendo EPD
The Stanley Parable: Ultra Deluxe,96%,2022,Crows Crows Crows GmbH
